customer_id,signup_date,acquisition_channel,age,city_tier
CUST00171,2023-07-15,Email,43,Tier 2
CUST00172,2023-11-09,Paid Ads,39,Tier 1
CUST00173,2023-10-01,Organic Search,21,Tier 1
CUST00174,2023-10-31,Organic Search,36,Tier 1
CUST00175,2023-09-11,Paid Ads,42,Tier 3
CUST00176,2023-12-02,Paid Ads,56,Tier 3
CUST00177,2023-12-01,Social Media,28,Tier 2
CUST00178,2023-11-24,Social Media,45,Tier 1
CUST00179,2023-09-30,Paid Ads,30,Tier 1
CUST00180,2023-07-17,Social Media,25,Tier 1
CUST00181,2023-08-12,Organic Search,35,Tier 1
CUST00182,2023-10-29,Organic Search,19,Tier 2
CUST00183,2023-08-10,Social Media,44,Tier 3
CUST00184,2023-12-17,Paid Ads,33,Tier 1
CUST00185,2023-12-25,Referral,51,Tier 1
CUST00186,2023-12-15,Paid Ads,55,Tier 2
CUST00187,2023-08-08,Social Media,49,Tier 1
CUST00188,2023-10-21,Paid Ads,53,Tier 3
CUST00189,2023-11-28,Paid Ads,19,Tier 1
CUST00190,2023-10-19,Paid Ads,26,Tier 1
CUST00191,2023-12-27,Social Media,30,Tier 1
CUST00192,2023-08-16,Paid Ads,37,Tier 1
CUST00193,2023-09-01,Referral,43,Tier 2
CUST00194,2023-10-18,Organic Search,50,Tier 1
CUST00195,2023-09-07,Organic Search,30,Tier 1
CUST00196,2023-08-12,Paid Ads,31,Tier 2
CUST00197,2023-12-23,Email,46,Tier 1
CUST00198,2023-08-03,Social Media,19,Tier 1
CUST00199,2023-08-09,Paid Ads,24,Tier 2
CUST00200,2023-08-30,Email,26,Tier 2
CUST00201,2023-12-25,Paid Ads,22,Tier 3
CUST00202,2024-01-11,Email,23,Tier 1
CUST00203,2023-08-31,Social Media,43,Tier 1
CUST00204,2023-08-27,Organic Search,40,Tier 1
CUST00205,2023-12-08,Paid Ads,46,Tier 1
CUST00206,2023-09-13,Referral,57,Tier 2
CUST00207,2023-07-16,Social Media,41,Tier 3
CUST00208,2023-09-20,Email,22,Tier 2
CUST00209,2023-10-02,Paid Ads,22,Tier 1
CUST00210,2023-08-17,Organic Search,39,Tier 2
CUST00211,2023-11-15,Paid Ads,55,Tier 3
CUST00212,2023-09-20,Social Media,59,Tier 1
CUST00213,2023-08-07,Email,20,Tier 2
CUST00214,2023-11-04,Organic Search,25,Tier 3
CUST00215,2023-07-19,Organic Search,34,Tier 2
CUST00216,2023-12-11,Organic Search,35,Tier 2
CUST00217,2024-01-03,Organic Search,38,Tier 1
CUST00218,2023-09-01,Organic Search,41,Tier 1
CUST00219,2023-09-15,Paid Ads,52,Tier 1
CUST00220,2023-12-21,Organic Search,29,Tier 2
CUST00221,2023-11-08,Organic Search,52,Tier 1
CUST00222,2023-10-10,Paid Ads,51,Tier 3
CUST00223,2023-09-03,Organic Search,44,Tier 3
CUST00224,2023-10-28,Organic Search,20,Tier 2
CUST00225,2023-09-29,Paid Ads,41,Tier 1
CUST00226,2023-07-08,Organic Search,59,Tier 1
CUST00227,2023-12-26,Paid Ads,40,Tier 2
CUST00228,2023-09-11,Organic Search,52,Tier 2
CUST00229,2023-11-11,Social Media,33,Tier 2
CUST00230,2023-10-15,Referral,28,Tier 1
CUST00231,2023-09-27,Social Media,33,Tier 2
CUST00232,2023-08-08,Paid Ads,47,Tier 2
CUST00233,2023-10-21,Social Media,41,Tier 2
CUST00234,2024-01-04,Email,35,Tier 2
CUST00235,2023-07-28,Organic Search,27,Tier 2
CUST00236,2023-10-05,Paid Ads,54,Tier 1
CUST00237,2023-12-29,Social Media,27,Tier 1
CUST00238,2023-08-06,Paid Ads,34,Tier 2
CUST00239,2023-11-14,Organic Search,54,Tier 1
CUST00240,2023-09-20,Social Media,51,Tier 2
CUST00241,2023-08-25,Social Media,49,Tier 2
CUST00242,2024-01-03,Organic Search,24,Tier 3
CUST00243,2023-09-23,Paid Ads,28,Tier 2
CUST00244,2023-07-02,Organic Search,34,Tier 1
CUST00245,2024-01-05,Social Media,22,Tier 1
CUST00246,2023-08-27,Organic Search,40,Tier 3
CUST00247,2023-10-15,Paid Ads,31,Tier 1
CUST00248,2023-10-31,Social Media,34,Tier 2
CUST00249,2024-01-04,Paid Ads,47,Tier 2
CUST00250,2023-12-15,Email,24,Tier 1
CUST00251,2023-12-11,Paid Ads,44,Tier 1
CUST00252,2023-10-22,Organic Search,29,Tier 2
CUST00253,2023-10-15,Email,42,Tier 3
CUST00254,2023-08-06,Organic Search,47,Tier 1
CUST00255,2023-09-17,Paid Ads,21,Tier 3
CUST00256,2023-09-30,Organic Search,28,Tier 2
CUST00257,2023-07-18,Email,19,Tier 3
CUST00258,2023-10-06,Referral,44,Tier 1
CUST00259,2023-09-01,Referral,30,Tier 1
CUST00260,2023-11-27,Paid Ads,32,Tier 3
CUST00261,2023-11-16,Organic Search,43,Tier 3
CUST00262,2024-01-02,Paid Ads,26,Tier 1
CUST00263,2024-01-01,Social Media,22,Tier 2
CUST00264,2023-07-04,Organic Search,46,Tier 3
CUST00265,2023-11-12,Referral,25,Tier 1
CUST00266,2023-08-30,Paid Ads,28,Tier 2
CUST00267,2023-10-15,Referral,54,Tier 3
CUST00268,2023-08-23,Social Media,20,Tier 1
CUST00269,2023-09-26,Social Media,44,Tier 1
CUST00270,2023-09-06,Paid Ads,32,Tier 2
CUST00271,2023-11-06,Organic Search,34,Tier 1
CUST00272,2023-08-24,Paid Ads,35,Tier 1
CUST00273,2023-07-03,Paid Ads,40,Tier 3
CUST00274,2023-12-13,Organic Search,22,Tier 2
CUST00275,2023-10-29,Paid Ads,37,Tier 3
CUST00276,2023-11-06,Paid Ads,20,Tier 3
CUST00277,2023-10-10,Email,57,Tier 1
CUST00278,2023-08-07,Email,27,Tier 1
CUST00279,2023-09-23,Organic Search,37,Tier 1
CUST00280,2023-12-04,Referral,34,Tier 1
CUST00281,2023-11-10,Organic Search,43,Tier 2
CUST00282,2023-09-30,Paid Ads,36,Tier 2
CUST00283,2023-07-21,Paid Ads,41,Tier 2
CUST00284,2024-01-15,Social Media,39,Tier 1
CUST00285,2024-01-11,Organic Search,29,Tier 1
CUST00286,2023-10-17,Paid Ads,57,Tier 2
CUST00287,2023-08-16,Email,59,Tier 2
CUST00288,2023-09-22,Organic Search,22,Tier 1
CUST00289,2023-09-21,Email,43,Tier 2
CUST00290,2023-08-04,Referral,50,Tier 1
CUST00291,2024-01-12,Referral,48,Tier 1
CUST00292,2023-09-07,Organic Search,44,Tier 2
CUST00293,2023-11-06,Organic Search,54,Tier 1
CUST00294,2024-01-12,Paid Ads,52,Tier 2
CUST00295,2023-11-17,Paid Ads,27,Tier 1
CUST00296,2024-01-04,Organic Search,30,Tier 1
CUST00297,2023-07-27,Organic Search,20,Tier 1
CUST00298,2023-08-25,Referral,56,Tier 3
CUST00299,2023-07-23,Referral,23,Tier 2
CUST00300,2023-11-30,Organic Search,23,Tier 3
CUST00301,2023-07-21,Paid Ads,40,Tier 2
CUST00302,2023-08-30,Paid Ads,23,Tier 2
CUST00303,2023-09-01,Organic Search,22,Tier 1
CUST00304,2023-10-30,Email,27,Tier 1
CUST00305,2023-08-21,Email,47,Tier 1
CUST00306,2023-09-26,Social Media,40,Tier 1
CUST00307,2023-11-30,Social Media,45,Tier 2
CUST00308,2023-08-24,Paid Ads,28,Tier 1
CUST00309,2023-08-15,Email,34,Tier 1
CUST00310,2023-08-01,Organic Search,28,Tier 1
CUST00311,2023-08-24,Email,24,Tier 1
CUST00312,2023-10-04,Paid Ads,23,Tier 2
CUST00313,2023-11-10,Organic Search,24,Tier 3
CUST00314,2023-08-05,Organic Search,43,Tier 1
CUST00315,2023-10-18,Organic Search,22,Tier 1
CUST00316,2023-12-24,Referral,58,Tier 1
CUST00317,2023-10-14,Organic Search,50,Tier 3
CUST00318,2023-08-27,Organic Search,53,Tier 1
CUST00319,2023-08-08,Paid Ads,28,Tier 2
CUST00320,2023-09-18,Email,52,Tier 2
CUST00321,2023-10-05,Organic Search,54,Tier 1
CUST00322,2023-10-21,Referral,24,Tier 1
CUST00323,2023-08-30,Social Media,34,Tier 1
CUST00324,2023-11-14,Email,37,Tier 3
CUST00325,2023-07-06,Email,52,Tier 2
CUST00326,2023-10-17,Organic Search,43,Tier 2
CUST00327,2023-08-04,Paid Ads,49,Tier 2
CUST00328,2023-08-08,Social Media,59,Tier 2
CUST00329,2023-11-27,Organic Search,35,Tier 2
CUST00330,2023-12-16,Organic Search,48,Tier 1
CUST00331,2023-10-26,Email,57,Tier 1
CUST00332,2023-07-05,Organic Search,49,Tier 1
CUST00333,2023-12-17,Referral,37,Tier 2
CUST00334,2023-09-25,Organic Search,53,Tier 1
CUST00335,2023-09-14,Social Media,47,Tier 2
CUST00336,2024-01-11,Paid Ads,19,Tier 1
CUST00337,2023-12-05,Social Media,22,Tier 3
CUST00338,2023-08-26,Paid Ads,46,Tier 1
CUST00339,2023-11-04,Paid Ads,36,Tier 1
CUST00340,2023-07-29,Social Media,44,Tier 3
CUST00341,2023-12-12,Paid Ads,58,Tier 1
CUST00342,2023-09-25,Paid Ads,37,Tier 3
CUST00343,2023-11-18,Paid Ads,24,Tier 1
CUST00344,2023-12-07,Social Media,19,Tier 1
CUST00345,2023-08-15,Paid Ads,26,Tier 2
CUST00346,2023-10-24,Referral,51,Tier 3
CUST00347,2023-10-20,Organic Search,39,Tier 1
CUST00348,2023-11-28,Paid Ads,42,Tier 3
CUST00349,2023-08-14,Social Media,43,Tier 2
CUST00350,2023-11-22,Email,37,Tier 3
CUST00351,2023-10-12,Social Media,47,Tier 1
CUST00352,2023-09-23,Referral,28,Tier 1
CUST00353,2024-01-10,Paid Ads,30,Tier 3
CUST00354,2023-11-11,Organic Search,51,Tier 3
CUST00355,2023-10-16,Organic Search,25,Tier 2
CUST00356,2023-07-18,Social Media,35,Tier 1
CUST00357,2023-10-02,Social Media,28,Tier 1
CUST00358,2023-11-27,Organic Search,49,Tier 2
CUST00359,2023-08-02,Organic Search,24,Tier 1
CUST00360,2023-12-05,Organic Search,35,Tier 1
CUST00361,2023-11-03,Social Media,55,Tier 1
CUST00362,2023-12-07,Paid Ads,36,Tier 2
CUST00363,2023-12-17,Paid Ads,44,Tier 1
CUST00364,2023-10-30,Paid Ads,34,Tier 2
CUST00365,2023-11-15,Social Media,26,Tier 2
CUST00366,2023-10-23,Email,42,Tier 2
CUST00367,2023-12-11,Email,31,Tier 1
CUST00368,2023-12-09,Organic Search,47,Tier 1
CUST00369,2023-07-28,Paid Ads,50,Tier 2
CUST00370,2023-07-11,Social Media,42,Tier 3
CUST00371,2023-12-14,Referral,34,Tier 2
CUST00372,2023-08-16,Organic Search,29,Tier 3
CUST00373,2023-11-04,Organic Search,50,Tier 2
CUST00374,2023-11-24,Organic Search,24,Tier 2
CUST00375,2023-10-26,Paid Ads,53,Tier 1
CUST00376,2023-11-20,Social Media,51,Tier 1
CUST00377,2023-11-03,Organic Search,36,Tier 2
CUST00378,2023-12-03,Paid Ads,55,Tier 1
CUST00379,2023-11-29,Paid Ads,31,Tier 2
CUST00380,2023-09-10,Organic Search,28,Tier 1
CUST00381,2023-10-15,Paid Ads,55,Tier 2
CUST00382,2023-11-14,Organic Search,44,Tier 2
CUST00383,2023-12-22,Paid Ads,35,Tier 2
CUST00384,2023-08-02,Social Media,19,Tier 3
CUST00385,2024-01-06,Paid Ads,43,Tier 1
CUST00386,2023-07-19,Organic Search,52,Tier 1
CUST00387,2024-01-11,Referral,57,Tier 1
CUST00388,2023-09-12,Email,28,Tier 3
CUST00389,2023-12-15,Social Media,38,Tier 2
CUST00390,2023-12-22,Organic Search,25,Tier 2
CUST00391,2024-01-09,Organic Search,34,Tier 1
CUST00392,2023-12-04,Organic Search,55,Tier 2
CUST00393,2023-12-25,Organic Search,47,Tier 1
CUST00394,2023-10-06,Paid Ads,30,Tier 2
CUST00395,2023-11-18,Referral,35,Tier 3
CUST00396,2023-11-06,Paid Ads,38,Tier 2
CUST00397,2023-12-09,Organic Search,44,Tier 2
CUST00398,2023-10-01,Email,37,Tier 2
CUST00399,2023-12-23,Organic Search,30,Tier 2
CUST00400,2023-08-17,Email,39,Tier 1
CUST00401,2023-12-24,Email,52,Tier 2
CUST00402,2023-09-02,Social Media,25,Tier 1
CUST00403,2023-08-30,Referral,53,Tier 1
CUST00404,2023-12-04,Organic Search,33,Tier 1
CUST00405,2023-08-08,Paid Ads,19,Tier 2
CUST00406,2023-11-05,Referral,44,Tier 1
CUST00407,2023-09-26,Social Media,53,Tier 2
CUST00408,2023-07-26,Paid Ads,43,Tier 1
CUST00409,2023-07-17,Referral,33,Tier 1
CUST00410,2023-09-09,Organic Search,40,Tier 2
CUST00411,2023-07-13,Referral,24,Tier 1
CUST00412,2023-09-07,Organic Search,33,Tier 2
CUST00413,2023-07-26,Paid Ads,42,Tier 2
CUST00414,2023-08-18,Social Media,39,Tier 3
CUST00415,2024-01-11,Organic Search,25,Tier 2
CUST00416,2023-07-07,Paid Ads,47,Tier 1
CUST00417,2023-08-27,Paid Ads,50,Tier 1
CUST00418,2023-08-18,Referral,50,Tier 1
CUST00419,2023-10-11,Social Media,23,Tier 3
CUST00420,2023-08-22,Social Media,22,Tier 1
CUST00421,2024-01-09,Email,40,Tier 1
CUST00422,2023-08-31,Social Media,36,Tier 1
CUST00423,2023-07-17,Paid Ads,53,Tier 3
CUST00424,2023-12-18,Paid Ads,35,Tier 1
CUST00425,2023-07-25,Social Media,42,Tier 3
CUST00426,2023-11-08,Paid Ads,20,Tier 1
CUST00427,2023-07-29,Organic Search,31,Tier 1
CUST00428,2023-10-25,Organic Search,33,Tier 1
CUST00429,2023-12-07,Organic Search,23,Tier 3
CUST00430,2023-07-26,Social Media,21,Tier 3
CUST00431,2023-11-01,Paid Ads,55,Tier 1
CUST00432,2023-11-21,Social Media,55,Tier 1
CUST00433,2023-07-25,Paid Ads,55,Tier 2
CUST00434,2023-08-23,Organic Search,21,Tier 1
CUST00435,2023-12-03,Paid Ads,53,Tier 1
CUST00436,2023-09-11,Social Media,41,Tier 1
CUST00437,2023-10-28,Email,46,Tier 1
CUST00438,2023-08-25,Referral,48,Tier 1
CUST00439,2023-09-03,Email,36,Tier 1
CUST00440,2023-10-01,Email,54,Tier 1
CUST00441,2023-09-24,Email,51,Tier 3
CUST00442,2023-09-18,Referral,44,Tier 1
CUST00443,2023-12-16,Social Media,58,Tier 2
CUST00444,2023-10-16,Organic Search,35,Tier 1
CUST00445,2023-12-26,Paid Ads,58,Tier 2
CUST00446,2023-10-26,Email,25,Tier 1
CUST00447,2024-01-15,Social Media,26,Tier 2
CUST00448,2023-12-04,Organic Search,49,Tier 1
CUST00449,2023-09-21,Social Media,30,Tier 3
CUST00450,2023-11-24,Referral,49,Tier 1
CUST00451,2024-01-10,Organic Search,37,Tier 1
CUST00452,2023-12-16,Social Media,28,Tier 3
CUST00453,2023-12-20,Organic Search,57,Tier 2
CUST00454,2023-07-15,Organic Search,30,Tier 1
CUST00455,2023-11-08,Organic Search,38,Tier 3
CUST00456,2023-11-16,Organic Search,55,Tier 1
CUST00457,2023-12-28,Social Media,59,Tier 1
CUST00458,2023-12-21,Organic Search,25,Tier 3
CUST00459,2023-07-30,Organic Search,32,Tier 1
CUST00460,2023-08-26,Organic Search,29,Tier 3
CUST00461,2023-11-23,Organic Search,25,Tier 1
CUST00462,2023-12-26,Organic Search,47,Tier 2
CUST00463,2023-11-05,Email,28,Tier 2
CUST00464,2023-08-17,Organic Search,47,Tier 3
CUST00465,2024-01-10,Social Media,27,Tier 2
CUST00466,2023-11-13,Social Media,54,Tier 1
CUST00467,2023-07-22,Organic Search,28,Tier 2
CUST00468,2023-07-06,Social Media,37,Tier 1
CUST00469,2024-01-01,Organic Search,49,Tier 2
CUST00470,2023-10-12,Organic Search,35,Tier 3
CUST00471,2023-08-05,Organic Search,27,Tier 2
CUST00472,2023-09-17,Paid Ads,51,Tier 2
CUST00473,2023-10-24,Paid Ads,52,Tier 1
CUST00474,2023-08-26,Social Media,42,Tier 2
CUST00475,2023-08-18,Paid Ads,27,Tier 1
CUST00476,2023-12-20,Social Media,25,Tier 2
CUST00477,2023-09-20,Organic Search,34,Tier 1
CUST00478,2023-09-04,Social Media,37,Tier 2
CUST00479,2023-09-15,Organic Search,57,Tier 1
CUST00480,2023-08-14,Organic Search,24,Tier 2
CUST00481,2023-09-17,Organic Search,29,Tier 1
CUST00482,2023-07-20,Organic Search,30,Tier 3
CUST00483,2024-01-08,Paid Ads,31,Tier 1
CUST00484,2023-10-31,Social Media,30,Tier 2
CUST00485,2023-09-05,Organic Search,39,Tier 1
CUST00486,2023-09-21,Social Media,28,Tier 2
CUST00487,2023-07-03,Email,38,Tier 1
CUST00488,2023-12-29,Social Media,54,Tier 2
CUST00489,2023-09-02,Organic Search,46,Tier 1
CUST00490,2023-08-09,Paid Ads,42,Tier 2
CUST00491,2023-08-28,Referral,23,Tier 1
CUST00492,2023-12-30,Email,55,Tier 1
CUST00493,2023-08-31,Paid Ads,30,Tier 2
CUST00494,2023-11-09,Organic Search,53,Tier 1
CUST00495,2023-08-29,Organic Search,58,Tier 1
CUST00496,2023-10-24,Email,20,Tier 3
CUST00497,2023-09-13,Social Media,59,Tier 3
CUST00498,2023-10-30,Organic Search,57,Tier 2
CUST00499,2023-10-15,Email,27,Tier 1
CUST00500,2023-10-04,Email,40,Tier 1
CUST00501,2023-09-29,Paid Ads,23,Tier 2
CUST00502,2023-12-05,Email,30,Tier 1
CUST00503,2023-11-07,Social Media,19,Tier 3
CUST00504,2023-08-31,Paid Ads,40,Tier 1
CUST00505,2023-08-18,Social Media,56,Tier 3
CUST00506,2023-11-14,Organic Search,37,Tier 2
CUST00507,2023-09-30,Organic Search,34,Tier 2
CUST00508,2023-12-06,Organic Search,49,Tier 1
CUST00509,2023-11-01,Organic Search,21,Tier 3
CUST00510,2023-08-30,Organic Search,41,Tier 1
CUST00511,2023-08-17,Organic Search,36,Tier 2
CUST00512,2023-11-30,Social Media,44,Tier 3
CUST00513,2023-12-11,Organic Search,31,Tier 1
CUST00514,2023-11-13,Social Media,36,Tier 1
CUST00515,2023-08-27,Organic Search,21,Tier 2
CUST00516,2023-10-09,Referral,41,Tier 1
CUST00517,2023-10-20,Social Media,21,Tier 2
CUST00518,2023-12-20,Organic Search,43,Tier 1
CUST00519,2023-08-31,Social Media,45,Tier 1
CUST00520,2023-08-08,Paid Ads,45,Tier 2
CUST00521,2023-08-27,Social Media,57,Tier 2
CUST00522,2023-10-07,Paid Ads,43,Tier 1
CUST00523,2024-01-08,Email,42,Tier 3
CUST00524,2023-08-13,Social Media,26,Tier 3
CUST00525,2023-07-29,Paid Ads,27,Tier 2
CUST00526,2023-08-28,Organic Search,55,Tier 1
