transaction_id,customer_id,transaction_date,category,order_value,quantity
TXN000094,CUST00003,2023-12-23,Electronics,619.83,1
TXN000095,CUST00003,2024-02-16,Books,783.95,1
TXN000096,CUST00003,2024-03-22,Beauty,150.0,3
TXN000097,CUST00003,2024-04-29,Books,680.66,1
TXN000098,CUST00003,2024-04-21,Books,1246.42,4
TXN000099,CUST00003,2024-06-14,Home & Kitchen,766.2,3
TXN000100,CUST00003,2024-07-22,Sports,752.06,4
TXN000101,CUST00003,2024-07-18,Books,777.83,1
TXN000102,CUST00003,2024-08-23,Books,1119.88,3
TXN000103,CUST00003,2024-11-17,Sports,823.24,1
TXN000104,CUST00003,2024-12-12,Books,881.12,4
TXN000105,CUST00003,2025-01-12,Home & Kitchen,881.93,2
TXN000106,CUST00003,2025-01-02,Home & Kitchen,821.49,2
TXN000107,CUST00003,2025-03-21,Sports,900.25,1
TXN000108,CUST00003,2025-04-18,Electronics,505.45,4
TXN000109,CUST00004,2023-07-18,Beauty,1046.77,2
TXN000110,CUST00004,2023-08-25,Home & Kitchen,511.19,1
TXN000111,CUST00004,2023-08-07,Books,663.82,4
TXN000112,CUST00004,2023-08-12,Electronics,605.48,1
TXN000113,CUST00004,2023-08-28,Beauty,536.01,4
TXN000114,CUST00004,2023-09-19,Beauty,1106.03,2
TXN000115,CUST00004,2023-09-13,Sports,859.53,4
TXN000116,CUST00004,2023-09-15,Books,625.88,2
TXN000117,CUST00004,2023-10-02,Books,641.93,2
TXN000118,CUST00004,2023-11-18,Books,772.6,4
TXN000119,CUST00004,2024-01-26,Home & Kitchen,569.91,2
TXN000120,CUST00004,2024-01-30,Beauty,989.85,2
TXN000121,CUST00004,2024-02-15,Home & Kitchen,1490.42,1
TXN000122,CUST00004,2024-02-20,Electronics,497.24,3
TXN000123,CUST00004,2024-04-08,Apparel,602.31,4
TXN000124,CUST00004,2024-05-26,Sports,880.53,3
TXN000125,CUST00004,2024-07-09,Home & Kitchen,972.82,3
TXN000126,CUST00004,2024-11-09,Home & Kitchen,1303.18,1
TXN000127,CUST00004,2024-11-19,Books,1181.67,2
TXN000128,CUST00004,2024-11-08,Sports,1848.22,1
TXN000129,CUST00004,2024-11-17,Books,233.93,3
TXN000130,CUST00004,2024-12-25,Sports,1024.62,2
TXN000131,CUST00004,2025-01-06,Sports,936.14,1
TXN000132,CUST00004,2025-01-26,Home & Kitchen,838.4,1
TXN000133,CUST00004,2025-02-11,Electronics,704.55,4
TXN000134,CUST00004,2025-02-24,Home & Kitchen,460.74,2
TXN000135,CUST00004,2025-01-31,Apparel,1272.24,4
TXN000136,CUST00004,2025-03-16,Apparel,1301.71,3
TXN000137,CUST00004,2025-04-16,Books,970.62,4
TXN000138,CUST00004,2025-04-13,Books,623.03,1
TXN000139,CUST00004,2025-05-07,Sports,1361.98,2
TXN000140,CUST00004,2025-05-02,Sports,687.67,4
TXN000141,CUST00004,2025-06-01,Electronics,958.33,3
TXN000142,CUST00005,2024-02-23,Beauty,534.73,4
TXN000143,CUST00005,2024-03-01,Sports,539.24,2
TXN000144,CUST00005,2024-03-13,Sports,534.87,4
TXN000145,CUST00005,2024-04-18,Sports,462.02,1
TXN000146,CUST00005,2024-09-07,Electronics,593.39,2
TXN000147,CUST00005,2024-10-23,Beauty,494.11,2
TXN000148,CUST00005,2024-10-04,Home & Kitchen,687.8,2
TXN000149,CUST00005,2024-10-05,Home & Kitchen,228.97,2
TXN000150,CUST00005,2024-12-26,Electronics,740.68,3
TXN000151,CUST00006,2023-12-30,Beauty,273.53,4
TXN000152,CUST00006,2024-06-05,Electronics,600.97,4
TXN000153,CUST00006,2024-05-26,Electronics,720.8,2
TXN000154,CUST00006,2024-09-22,Books,758.6,2
TXN000155,CUST00007,2024-07-10,Home & Kitchen,622.62,1
TXN000156,CUST00008,2023-10-26,Books,1053.75,3
TXN000157,CUST00008,2023-10-29,Electronics,1149.83,1
TXN000158,CUST00008,2023-12-04,Sports,958.22,2
TXN000159,CUST00008,2023-12-27,Sports,150.0,3
TXN000160,CUST00008,2024-02-11,Electronics,2576.73,2
TXN000161,CUST00008,2024-03-13,Beauty,1864.18,1
TXN000162,CUST00008,2024-02-21,Beauty,1077.5,3
TXN000163,CUST00008,2024-03-07,Home & Kitchen,891.2,2
TXN000164,CUST00008,2024-04-01,Electronics,1802.77,2
TXN000165,CUST00008,2024-03-20,Beauty,557.77,2
TXN000166,CUST00008,2024-04-07,Home & Kitchen,1958.17,4
TXN000167,CUST00008,2024-04-20,Home & Kitchen,1061.96,4
TXN000168,CUST00008,2024-04-24,Sports,1022.86,2
TXN000169,CUST00008,2024-04-21,Sports,1007.07,4
TXN000170,CUST00008,2024-04-29,Beauty,1939.57,1
TXN000171,CUST00008,2024-06-06,Home & Kitchen,1560.95,1
TXN000172,CUST00008,2024-05-24,Apparel,1701.89,1
TXN000173,CUST00008,2024-07-10,Sports,797.56,4
TXN000174,CUST00008,2024-07-09,Electronics,1526.34,2
TXN000175,CUST00008,2024-07-04,Apparel,1084.36,2
TXN000176,CUST00008,2024-08-16,Books,1168.11,2
TXN000177,CUST00008,2024-08-22,Home & Kitchen,528.17,2
TXN000178,CUST00008,2024-09-15,Home & Kitchen,3012.68,3
TXN000179,CUST00008,2024-09-24,Beauty,1406.17,2
TXN000180,CUST00008,2024-11-04,Sports,1494.57,2
TXN000181,CUST00008,2024-11-03,Home & Kitchen,1646.22,1
TXN000182,CUST00008,2024-10-26,Electronics,1202.96,2
TXN000183,CUST00008,2024-10-20,Beauty,1380.75,4
TXN000184,CUST00008,2024-12-09,Books,1048.56,1
TXN000185,CUST00008,2024-12-08,Electronics,1812.69,2
TXN000186,CUST00008,2024-11-24,Books,1684.73,3
TXN000187,CUST00008,2024-11-21,Beauty,1274.47,1
TXN000188,CUST00008,2024-12-21,Electronics,2061.73,2
TXN000189,CUST00008,2025-01-16,Electronics,2369.7,2
TXN000190,CUST00008,2025-01-26,Sports,2545.86,4
TXN000191,CUST00008,2025-02-26,Books,2586.46,3
TXN000192,CUST00008,2025-03-02,Home & Kitchen,1205.52,4
TXN000193,CUST00008,2025-02-18,Home & Kitchen,1000.23,3
TXN000194,CUST00008,2025-03-04,Electronics,1693.84,3
TXN000195,CUST00008,2025-03-13,Home & Kitchen,387.88,1
TXN000196,CUST00008,2025-03-07,Home & Kitchen,2369.4,2
TXN000197,CUST00008,2025-03-23,Sports,1056.9,1
TXN000198,CUST00008,2025-04-10,Sports,2328.59,2
TXN000199,CUST00008,2025-04-05,Books,1595.56,1
TXN000200,CUST00008,2025-04-25,Books,1754.79,4
TXN000201,CUST00008,2025-05-17,Home & Kitchen,2399.19,3
TXN000202,CUST00009,2023-08-27,Electronics,923.61,3
TXN000203,CUST00009,2023-11-09,Electronics,848.7,4
TXN000204,CUST00009,2023-11-04,Sports,1156.32,1
TXN000205,CUST00009,2023-10-25,Books,572.59,3
TXN000206,CUST00009,2023-11-29,Beauty,775.65,4
TXN000207,CUST00009,2023-12-01,Home & Kitchen,1483.96,2
TXN000208,CUST00009,2023-12-15,Books,1107.9,3
TXN000209,CUST00009,2023-12-19,Home & Kitchen,568.19,4
TXN000210,CUST00009,2024-01-28,Apparel,798.63,2
TXN000211,CUST00009,2024-03-29,Sports,916.31,4
TXN000212,CUST00009,2024-10-07,Home & Kitchen,506.39,2
TXN000213,CUST00009,2025-01-04,Books,1298.57,2
TXN000214,CUST00009,2025-02-27,Apparel,817.36,3
TXN000215,CUST00009,2025-03-07,Books,1022.92,4
TXN000216,CUST00009,2025-04-01,Books,961.74,4
TXN000217,CUST00010,2023-10-10,Sports,756.72,4
TXN000218,CUST00010,2023-11-08,Electronics,1496.14,3
TXN000219,CUST00010,2023-10-25,Home & Kitchen,471.59,2
TXN000220,CUST00010,2023-11-08,Electronics,1646.68,3
TXN000221,CUST00010,2023-11-29,Home & Kitchen,926.77,3
TXN000222,CUST00010,2024-01-18,Apparel,684.84,4
TXN000223,CUST00010,2024-01-01,Beauty,1102.83,1
TXN000224,CUST00010,2023-12-28,Books,1253.77,1
TXN000225,CUST00010,2024-01-07,Apparel,394.96,4
TXN000226,CUST00010,2024-01-04,Electronics,1186.8,3
TXN000227,CUST00010,2024-02-09,Beauty,1165.77,3
TXN000228,CUST00010,2024-02-07,Electronics,1142.5,1
TXN000229,CUST00010,2024-03-04,Electronics,1187.37,1
TXN000230,CUST00010,2024-03-18,Electronics,530.87,2
TXN000231,CUST00010,2024-04-05,Beauty,660.35,1
TXN000232,CUST00010,2024-04-07,Sports,1511.81,3
TXN000233,CUST00010,2024-05-03,Books,1194.2,3
TXN000234,CUST00010,2024-07-07,Sports,1422.96,4
TXN000235,CUST00010,2024-07-14,Sports,871.33,4
TXN000236,CUST00010,2024-07-02,Apparel,236.99,2
TXN000237,CUST00010,2024-07-30,Home & Kitchen,874.63,3
TXN000238,CUST00010,2024-08-19,Apparel,1165.84,3
TXN000239,CUST00010,2024-10-14,Home & Kitchen,373.33,4
TXN000240,CUST00010,2024-10-29,Electronics,844.93,1
TXN000241,CUST00010,2024-10-15,Beauty,1109.22,1
TXN000242,CUST00010,2024-12-03,Books,940.95,2
TXN000243,CUST00010,2025-01-11,Sports,1070.89,3
TXN000244,CUST00010,2025-01-12,Books,1287.78,2
TXN000245,CUST00010,2025-01-07,Beauty,829.86,2
TXN000246,CUST00010,2025-01-14,Sports,995.53,3
TXN000247,CUST00010,2025-02-09,Beauty,857.69,3
TXN000248,CUST00010,2025-03-14,Electronics,961.73,2
TXN000249,CUST00011,2024-04-27,Apparel,426.39,4
TXN000250,CUST00011,2024-08-28,Home & Kitchen,159.88,1
TXN000251,CUST00011,2024-11-07,Beauty,741.95,1
TXN000252,CUST00011,2024-10-31,Home & Kitchen,484.95,4
TXN000253,CUST00011,2024-12-11,Beauty,371.34,2
TXN000254,CUST00011,2025-06-08,Electronics,762.97,4
TXN000255,CUST00012,2023-09-16,Books,2548.63,2
TXN000256,CUST00012,2023-09-25,Home & Kitchen,2241.81,1
TXN000257,CUST00012,2023-09-13,Home & Kitchen,4688.56,4
TXN000258,CUST00012,2023-09-10,Apparel,5424.78,1
TXN000259,CUST00012,2023-09-18,Apparel,2692.22,4
TXN000260,CUST00012,2023-10-01,Books,3933.02,4
TXN000261,CUST00012,2023-10-02,Sports,2835.17,4
TXN000262,CUST00012,2023-10-11,Apparel,3326.93,4
TXN000263,CUST00012,2023-10-12,Books,3493.01,1
TXN000264,CUST00012,2023-10-23,Beauty,3620.42,4
TXN000265,CUST00012,2023-11-26,Books,2641.37,3
TXN000266,CUST00012,2023-11-15,Apparel,2597.96,1
TXN000267,CUST00012,2023-11-30,Books,4415.6,2
TXN000268,CUST00012,2023-12-03,Beauty,2939.7,3
TXN000269,CUST00012,2023-11-21,Beauty,4487.3,2
TXN000270,CUST00012,2023-12-05,Sports,4644.01,1
TXN000271,CUST00012,2023-12-25,Books,3820.06,2
TXN000272,CUST00012,2023-12-31,Apparel,3670.75,2
TXN000273,CUST00012,2023-12-19,Beauty,4527.21,4
TXN000274,CUST00012,2023-12-21,Home & Kitchen,4388.89,2
TXN000275,CUST00012,2024-01-08,Electronics,3344.67,4
TXN000276,CUST00012,2024-01-13,Beauty,2770.66,3
TXN000277,CUST00012,2024-01-30,Beauty,1207.28,4
TXN000278,CUST00012,2024-01-20,Apparel,4003.99,2
TXN000279,CUST00012,2024-01-18,Sports,4108.95,2
TXN000280,CUST00012,2024-01-09,Home & Kitchen,2280.17,4
TXN000281,CUST00012,2024-01-29,Sports,2481.61,3
TXN000282,CUST00012,2024-02-14,Sports,4443.96,1
TXN000283,CUST00012,2024-02-20,Beauty,4517.13,3
TXN000284,CUST00012,2024-03-01,Beauty,4470.94,2
TXN000285,CUST00012,2024-02-15,Sports,2482.46,3
TXN000286,CUST00012,2024-02-12,Apparel,4421.38,2
TXN000287,CUST00012,2024-02-22,Books,3391.73,3
TXN000288,CUST00012,2024-03-23,Sports,1919.9,2
TXN000289,CUST00012,2024-03-22,Apparel,2627.84,3
TXN000290,CUST00012,2024-04-02,Apparel,4798.41,1
TXN000291,CUST00012,2024-03-18,Home & Kitchen,3429.49,2
TXN000292,CUST00012,2024-04-04,Beauty,2890.9,3
TXN000293,CUST00012,2024-04-10,Apparel,1801.47,4
TXN000294,CUST00012,2024-04-16,Books,2647.7,1
TXN000295,CUST00012,2024-04-12,Electronics,4710.77,2
TXN000296,CUST00012,2024-04-26,Electronics,1878.38,3
TXN000297,CUST00012,2024-05-02,Sports,4580.34,2
TXN000298,CUST00012,2024-04-08,Books,3865.21,1
TXN000299,CUST00012,2024-04-22,Sports,2692.65,4
TXN000300,CUST00012,2024-05-29,Apparel,4662.16,3
TXN000301,CUST00012,2024-06-05,Sports,2136.11,1
TXN000302,CUST00012,2024-05-15,Apparel,3350.09,1
TXN000303,CUST00012,2024-05-13,Books,4312.26,2
TXN000304,CUST00012,2024-05-12,Books,2501.46,2
TXN000305,CUST00012,2024-06-26,Electronics,3546.05,2
TXN000306,CUST00012,2024-06-29,Electronics,4466.35,4
TXN000307,CUST00012,2024-06-17,Books,2257.34,1
TXN000308,CUST00012,2024-06-21,Apparel,2650.56,1
TXN000309,CUST00012,2024-06-10,Electronics,3266.24,2
TXN000310,CUST00012,2024-07-10,Home & Kitchen,2754.63,3
TXN000311,CUST00012,2024-08-11,Electronics,3742.67,3
TXN000312,CUST00012,2024-08-24,Beauty,4325.8,1
TXN000313,CUST00012,2024-08-22,Electronics,3299.42,4
TXN000314,CUST00012,2024-08-12,Home & Kitchen,3571.09,2
TXN000315,CUST00012,2024-08-05,Electronics,6143.26,3
TXN000316,CUST00012,2024-08-13,Sports,5081.7,4
TXN000317,CUST00012,2024-09-26,Sports,3053.02,2
TXN000318,CUST00012,2024-09-22,Electronics,3419.4,3
TXN000319,CUST00012,2024-09-19,Electronics,1535.62,2
TXN000320,CUST00012,2024-09-10,Sports,3611.25,4
TXN000321,CUST00012,2024-09-16,Books,4650.06,2
TXN000322,CUST00012,2024-10-31,Sports,1906.35,3
TXN000323,CUST00012,2024-12-02,Apparel,3225.85,2
TXN000324,CUST00012,2024-11-26,Electronics,1961.35,1
TXN000325,CUST00012,2024-11-19,Beauty,4447.53,1
TXN000326,CUST00012,2024-11-22,Books,150.0,2
TXN000327,CUST00012,2024-11-13,Apparel,3340.04,4
TXN000328,CUST00012,2024-11-05,Electronics,3454.37,4
TXN000329,CUST00012,2024-11-22,Electronics,2535.85,2
TXN000330,CUST00012,2024-12-01,Sports,1597.92,4
TXN000331,CUST00012,2024-12-24,Electronics,1885.78,4
TXN000332,CUST00012,2024-12-19,Home & Kitchen,3859.62,4
TXN000333,CUST00012,2024-12-24,Apparel,2227.78,2
TXN000334,CUST00012,2024-12-05,Beauty,2693.05,4
TXN000335,CUST00012,2024-12-20,Beauty,2239.18,3
TXN000336,CUST00012,2024-12-10,Electronics,4459.57,1
TXN000337,CUST00012,2024-12-28,Electronics,4805.95,4
TXN000338,CUST00012,2025-01-25,Electronics,2420.84,4
TXN000339,CUST00012,2025-01-26,Electronics,3595.71,3
TXN000340,CUST00012,2025-01-25,Apparel,1702.81,3
TXN000341,CUST00012,2025-02-09,Beauty,2345.29,1
TXN000342,CUST00012,2025-02-19,Books,3329.57,4
TXN000343,CUST00012,2025-02-12,Sports,1827.4,4
TXN000344,CUST00012,2025-03-06,Electronics,3350.98,3
TXN000345,CUST00012,2025-03-25,Electronics,4177.83,4
TXN000346,CUST00012,2025-04-19,Sports,3882.06,3
TXN000347,CUST00012,2025-04-03,Electronics,2412.03,4
TXN000348,CUST00012,2025-04-21,Sports,4074.99,1
TXN000349,CUST00012,2025-04-14,Sports,4189.03,3
TXN000350,CUST00012,2025-05-17,Home & Kitchen,5134.1,2
TXN000351,CUST00012,2025-05-30,Apparel,6442.05,2
TXN000352,CUST00012,2025-05-14,Home & Kitchen,3333.95,2
TXN000353,CUST00012,2025-05-19,Home & Kitchen,3848.55,4
TXN000354,CUST00012,2025-05-29,Beauty,3723.14,3
TXN000355,CUST00013,2023-11-12,Sports,993.74,3
TXN000356,CUST00013,2023-11-21,Books,1783.78,4
TXN000357,CUST00013,2023-11-15,Beauty,754.28,4
TXN000358,CUST00013,2023-11-24,Home & Kitchen,2519.25,4
TXN000359,CUST00013,2023-11-08,Home & Kitchen,2413.99,1
TXN000360,CUST00013,2023-11-01,Home & Kitchen,1331.41,2
TXN000361,CUST00013,2023-12-30,Sports,1691.72,4
TXN000362,CUST00013,2023-12-05,Sports,1325.35,2
TXN000363,CUST00013,2023-12-25,Sports,1144.63,2
TXN000364,CUST00013,2024-01-06,Electronics,2155.8,1
TXN000365,CUST00013,2023-12-31,Electronics,3224.74,2
TXN000366,CUST00013,2023-12-31,Books,944.62,1
TXN000367,CUST00013,2024-01-26,Apparel,1321.49,2
TXN000368,CUST00013,2024-01-01,Beauty,1697.62,2
TXN000369,CUST00013,2024-02-09,Home & Kitchen,1834.17,3
TXN000370,CUST00013,2024-02-20,Electronics,2601.45,1
TXN000371,CUST00013,2024-03-18,Electronics,2131.04,3
TXN000372,CUST00013,2024-03-31,Apparel,1956.9,2
TXN000373,CUST00013,2024-04-04,Apparel,545.75,2
TXN000374,CUST00013,2024-04-02,Apparel,1905.23,3
TXN000375,CUST00014,2023-11-29,Electronics,787.2,4
TXN000376,CUST00014,2024-01-21,Electronics,634.19,2
TXN000377,CUST00014,2024-02-16,Electronics,662.49,3
TXN000378,CUST00014,2024-04-21,Home & Kitchen,364.95,4
TXN000379,CUST00014,2024-07-04,Apparel,540.19,1
TXN000380,CUST00014,2024-12-14,Apparel,455.96,1
TXN000381,CUST00014,2025-02-23,Apparel,435.19,4
TXN000382,CUST00014,2025-02-20,Sports,555.78,1
TXN000383,CUST00015,2024-05-28,Electronics,417.24,3
TXN000384,CUST00015,2024-06-01,Sports,539.76,2
TXN000385,CUST00015,2024-05-09,Beauty,342.01,1
TXN000386,CUST00015,2024-07-08,Beauty,564.64,2
TXN000387,CUST00015,2024-09-08,Books,817.54,3
TXN000388,CUST00015,2025-04-24,Electronics,925.71,4
TXN000389,CUST00015,2025-05-08,Home & Kitchen,368.43,2
TXN000390,CUST00015,2025-05-03,Sports,371.85,4
TXN000391,CUST00016,2023-12-08,Sports,518.58,2
TXN000392,CUST00016,2023-12-11,Apparel,440.62,1
TXN000393,CUST00016,2024-02-14,Sports,661.12,1
TXN000394,CUST00016,2024-12-30,Beauty,270.7,4
TXN000395,CUST00016,2025-02-20,Sports,363.19,3
TXN000396,CUST00017,2024-01-21,Sports,781.09,2
TXN000397,CUST00017,2024-04-20,Books,589.17,4
TXN000398,CUST00017,2024-11-08,Electronics,278.42,4
TXN000399,CUST00017,2024-11-24,Books,479.2,4
TXN000400,CUST00017,2025-04-21,Electronics,673.49,3
TXN000401,CUST00018,2023-10-31,Sports,1228.17,4
TXN000402,CUST00018,2023-12-07,Home & Kitchen,150.0,2
TXN000403,CUST00018,2023-12-17,Books,1152.97,3
TXN000404,CUST00018,2023-12-16,Beauty,938.23,1
TXN000405,CUST00018,2024-01-06,Beauty,904.61,4
TXN000406,CUST00018,2023-12-14,Books,1099.42,1
TXN000407,CUST00018,2024-02-18,Sports,602.64,2
TXN000408,CUST00018,2024-02-29,Beauty,1011.35,1
TXN000409,CUST00018,2024-02-19,Electronics,889.68,2
TXN000410,CUST00018,2024-02-23,Books,1094.2,3
TXN000411,CUST00018,2024-06-30,Electronics,1193.67,4
TXN000412,CUST00018,2024-08-28,Apparel,718.54,2
TXN000413,CUST00018,2024-10-05,Electronics,744.25,1
TXN000414,CUST00018,2024-09-30,Electronics,1449.86,1
TXN000415,CUST00018,2024-09-28,Apparel,1238.14,3
TXN000416,CUST00018,2024-11-10,Sports,871.44,3
TXN000417,CUST00018,2024-12-30,Apparel,1006.55,2
TXN000418,CUST00018,2024-12-21,Apparel,545.59,2
TXN000419,CUST00018,2025-01-07,Home & Kitchen,1065.29,1
TXN000420,CUST00018,2025-03-22,Beauty,837.94,3
TXN000421,CUST00018,2025-03-24,Books,1047.76,1
TXN000422,CUST00018,2025-03-17,Electronics,450.2,2
TXN000423,CUST00018,2025-04-21,Electronics,286.01,3
TXN000424,CUST00019,2023-12-05,Books,821.01,3
TXN000425,CUST00019,2024-02-15,Electronics,973.12,2
TXN000426,CUST00019,2024-02-13,Books,1035.47,1
TXN000427,CUST00019,2024-04-30,Beauty,406.27,3
TXN000428,CUST00019,2024-05-01,Beauty,644.56,1
TXN000429,CUST00019,2024-05-07,Sports,1251.0,2
TXN000430,CUST00019,2024-05-10,Apparel,636.27,4
TXN000431,CUST00019,2024-06-21,Home & Kitchen,557.21,1
TXN000432,CUST00019,2024-07-17,Electronics,1502.52,1
TXN000433,CUST00019,2024-10-16,Sports,918.91,1
TXN000434,CUST00019,2024-10-21,Sports,835.09,1
TXN000435,CUST00019,2024-10-12,Electronics,312.88,1
TXN000436,CUST00019,2024-11-06,Electronics,607.68,2
TXN000437,CUST00019,2024-12-26,Apparel,831.84,3
TXN000438,CUST00019,2025-03-11,Home & Kitchen,449.95,3
TXN000439,CUST00019,2025-03-26,Apparel,913.1,2
TXN000440,CUST00019,2025-03-19,Apparel,780.78,2
TXN000441,CUST00019,2025-04-15,Home & Kitchen,1025.01,4
TXN000442,CUST00020,2023-08-12,Home & Kitchen,401.23,2
TXN000443,CUST00020,2023-10-11,Home & Kitchen,681.16,4
TXN000444,CUST00020,2023-11-07,Books,150.0,2
TXN000445,CUST00020,2024-09-24,Electronics,503.16,3
TXN000446,CUST00020,2024-11-15,Electronics,618.73,4
TXN000447,CUST00020,2025-02-08,Sports,802.63,4
TXN000448,CUST00021,2023-12-04,Electronics,423.88,2
TXN000449,CUST00021,2023-12-11,Home & Kitchen,1100.31,3
TXN000450,CUST00021,2023-11-25,Sports,283.15,1
TXN000451,CUST00021,2024-01-15,Sports,1355.89,3
TXN000452,CUST00021,2024-02-01,Electronics,805.91,2
